id,new_id,title,tags
862,0,Toy Story,jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife TomHanks TimAllen DonRickles JimVarney WallaceShawn JohnRatzenberger AnniePotts JohnMorris ErikvonDetten LaurieMetcalf R.LeeErmey SarahFreeman PennJillette Animation Comedy Family 1995
8844,1,Jumanji,boardgame disappearance basedonchildren'sbook newhome recluse giantinsect RobinWilliams JonathanHyde KirstenDunst BradleyPierce BonnieHunt BebeNeuwirth DavidAlanGrier PatriciaClarkson AdamHann-Byrd LauraBellBundy JamesHandy GillianBarber BrandonObray CyrusThiedeke GaryJosephThorup LeonardZola LloydBerry MalcolmStewart AnnabelKershaw DarrylHenriques RobynDriscoll PeterBryant SarahGilson FloricaVlad JuneLion BrendaLockmuller Adventure Fantasy Family 1995
15602,2,Grumpier Old Men,fishing bestfriend duringcreditsstinger oldmen WalterMatthau JackLemmon Ann-Margret SophiaLoren DarylHannah BurgessMeredith KevinPollak Romance Comedy 1995
31357,3,Waiting to Exhale,basedonnovel interracialrelationship singlemother divorce chickflick WhitneyHouston AngelaBassett LorettaDevine LelaRochon GregoryHines DennisHaysbert MichaelBeach MykeltiWilliamson LamontJohnson WesleySnipes Comedy Drama Romance 1995
11862,4,Father of the Bride Part II,baby midlifecrisis confidence aging daughter motherdaughterrelationship pregnancy contraception gynecologist SteveMartin DianeKeaton MartinShort KimberlyWilliams-Paisley GeorgeNewbern KieranCulkin BDWong PeterMichaelGoetz KateMcGregor-Stewart JaneAdams EugeneLevy LoriAlan Comedy 1995
949,5,Heat,"robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic AlPacino RobertDeNiro ValKilmer JonVoight TomSizemore DianeVenora AmyBrenneman AshleyJudd MykeltiWilliamson NataliePortman TedLevine TomNoonan ToneLoc HankAzaria WesStudi DennisHaysbert DannyTrejo HenryRollins WilliamFichtner KevinGage SusanTraylor JerryTrimble RickyHarris JeremyPiven XanderBerkeley BegonyaPlaza RickAvery HazelleGoodman RayBuktenica MaxDaniels VinceDeadrickJr. StevenFord FarrahForke PatriciaHealy PaulHerman CindyKatz BrianLibby DanMartin MarioRoberts ThomasRosales,Jr. YvonneZima MickGould BudCort VivianeVives KimStaunton MartinFerrero BradBaldridge AndrewCamuccio KennyEndoso KimberlyFlynn NikiHarris BillMcIntosh RickMarzan TerryMiller DanielO'Haco KaiSoremekun PeterBlackwell TrevorCoppola MaryKircher DarinMangan RobertMiranda MannyPerry IvaFranksSinger TimWerner PhilipEttington Action Crime Drama Thriller 1995"
11860,6,Sabrina,paris brotherbrotherrelationship chauffeur longisland fusion millionaire HarrisonFord JuliaOrmond GregKinnear AngieDickinson NancyMarchand JohnWood RichardCrenna LaurenHolly DanaIvey FannyArdant PatrickBruel PaulGiamatti MiriamColón ElizabethFranz ValérieLemercier BeckyAnnBaker JohnC.Vennema MargoMartindale J.Smith-Cameron ChristineLuneau-Lipton MichaelDees DenisHolmes Jo-JoLowe IraWheeler PhilippaCooper AyakoKawahara FrançoisGenty GuillaumeGallienne InésSastre PhinaOruche AndreaBehalikova JenniferHerrera KristinaKumlin EvaLinderholm CarmenChaplin MichelineVandeVelde JoannaRhodes AlanBoone PatrickForster-Delmas KentaroMatsuo PeterMcKernan EdConnelly RonaldL.Schwary AlvinLum SichingSong PhilNee RandyBecker SusanBrowning AnthonyMondal PeterParks WoodrowAsai EricBrunoBorgman MichaelCline ChristopherDelGaudio PhilippeHartmann JerryQuinn DoriRosenthal Comedy Romance 1995
45325,7,Tom and Huck, JonathanTaylorThomas BradRenfro RachaelLeighCook MichaelMcShane AmyWright EricSchweig TamaraMello Action Adventure Drama Family 1995
9091,8,Sudden Death,terrorist hostage explosive vicepresident Jean-ClaudeVanDamme PowersBoothe DorianHarewood RaymondJ.Barry RossMalinger WhittniWright Action Adventure Thriller 1995
710,9,GoldenEye,cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy PierceBrosnan SeanBean IzabellaScorupco FamkeJanssen JoeDonBaker JudiDench GottfriedJohn RobbieColtrane AlanCumming TchékyKaryo DesmondLlewelyn SamanthaBond MichaelKitchen SerenaGordon SimonKunz BillyJ.Mitchell ConstantineGregory MinnieDriver MichelleArthur RavilIsyanov Adventure Action Thriller 1995
9087,10,The American President,whitehouse usapresident newlove widower wildlifeconservation MichaelDouglas AnnetteBening MichaelJ.Fox MartinSheen AnnaDeavereSmith ShawnaWaldron SamanthaMathis DavidPaymer RichardDreyfuss NinaSiemaszko WendieMalick BeauBillingslea GailStrickland JoshuaMalina ClementvonFranckenstein JohnMahoney JohnMahon GabrielJarret Comedy Drama Romance 1995
12110,11,Dracula: Dead and Loving It,dracula spoof LeslieNielsen MelBrooks AmyYasbeck PeterMacNicol LysetteAnthony HarveyKorman StevenWeber MarkBlankfield MeganCavanagh GreggBinkley AnneBancroft Comedy Horror 1995
21032,12,Balto,wolf dog-sleddingrace alaska dog goose bearattack dogsled frozenlake KevinBacon BobHoskins BridgetFonda JimCummings PhilCollins JulietteBrewer JackAngel DannyMann RobbieRist SandraDickinson FrankWelker MiriamMargolyes LolaBates-Campbell Family Animation Adventure 1995
10858,13,Nixon,usapresident presidentialelection watergatescandal biography government historicalfigure AnthonyHopkins JoanAllen PowersBoothe EdHarris BobHoskins E.G.Marshall DavidPaymer DavidHydePierce PaulSorvino MarySteenburgen J.T.Walsh JamesWoods BrianBedford KevinDunn FyvushFinkel AnnabethGish LarryHagman MadelineKahn DanHedaya BridgetteWilson TomBower TonyGoldwyn EdwardHerrmann TonyLoBianco SaulRubinek RobertBeltran JohnCunningham JohnDiehl JohnC.McGinley MichaelChiklis RicYoung BorisSichkin SamWaterston MarleyShelton History Drama 1995
1408,14,Cutthroat Island,exoticisland treasure map ship scalp pirate GeenaDavis MatthewModine FrankLangella MauryChaykin PatrickMalahide StanShaw RexLinn PaulDillon ChristopherMasterson JimmieF.Skaggs HarrisYulin CarlChase PeterGeeves AngusWright KenBones MaryPeach ThomasLockyer RogerBooth GeorgeMurcell SimonAtherton DickeyBeer ChristopherHalliday ChrisJohnston RichardLeaf TamWhite RupertVansittart NickBartlett DavidBailie KwameKwei-Armah RamonTikaram ChristopherAdamson Action Adventure 1995
