,id,title,description,release_year,genres,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
0,tm84618,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,"['drama', 'crime']",8.2,808582.0,40.965,8.179,RobertDeNiro JodieFoster AlbertBrooks HarveyKeitel CybillShepherd PeterBoyle LeonardHarris DiahnneAbbott GinoArdito MartinScorsese MurrayMoston RichardHiggs BillMinkin BobMaroff VictorArgo JoeSpinell RobinsonFrankAdu BrendaDickson NormanMatlock HarryNorthup HarlanCaryPoe StevenPrince PeterSavage NicholasShields RalphS.Singleton AnnieGagen CarsonGrant Mary-PatGreen DebbiMorgan DonStroud CopperCunningham GarthAvery NatGrant BilliePerkins CatherineScorsese CharlesScorsese,a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feed his urge for violent action. robertdeniro jodiefoster albertbrooks harveykeitel cybillshepherd peterboyle leonardharris diahnneabbott ginoardito martinscorsese murraymoston richardhiggs billminkin bobmaroff victorargo joespinell robinsonfrankadu brendadickson normanmatlock harrynorthup harlancarypoe stevenprince petersavage nicholasshields ralphs.singleton anniegagen carsongrant mary-patgreen debbimorgan donstroud coppercunningham garthavery natgrant billieperkins catherinescorsese charlesscorsese
1,tm154986,Deliverance,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0,10.01,7.3,JonVoight BurtReynolds NedBeatty RonnyCox EdRamey BillyRedden SeamonGlass RandallDeal BillMcKinney Herbert'Cowboy'Coward LewisCrone KenKeener JohnnyPopwell JohnFowler KathyRickman LouiseColdren PeteWare JamesDickey MaconMcCalman HoytPollard BelindaBeatty CharleyBoorman,"intent on seeing the cahulawassee river before it's turned into one huge lake, outdoor fanatic lewis medlock takes his friends on a river-rafting trip they'll never forget into the dangerous american back-country. jonvoight burtreynolds nedbeatty ronnycox edramey billyredden seamonglass randalldeal billmckinney herbert'cowboy'coward lewiscrone kenkeener johnnypopwell johnfowler kathyrickman louisecoldren peteware jamesdickey maconmccalman hoytpollard belindabeatty charleyboorman"
2,tm127384,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,"['fantasy', 'action', 'comedy']",8.2,534486.0,15.461,7.811,GrahamChapman JohnCleese EricIdle TerryGilliam TerryJones MichaelPalin ConnieBooth CarolCleveland NeilInnes BeeDuffell JohnYoung RitaDavies AvrilStewart SallyKinghorn MarkZycon ElspethCameron MitsukoForstater SandyJohnson SandyRose RomillySquire JoniFlynn AlisonWalker LoraineWard AnnaLanski SallyCoombe VivienneMacDonald YvonneDick DaphneDarling FionaGordon JudyLamb TracySneddon JoycePollner MaryAllen GloriaGraham SylviaTaylor JulianDoyle MargaritaDoyle ZackMatalon ScottMike WilliamPalin TerryJones TomRaeburn BrianRoss RoyForgeSmith JohnThornton MaggieWeston,"king arthur, accompanied by his squire, recruits his knights of the round table, including sir bedevere the wise, sir lancelot the brave, sir robin the not-quite-so-brave-as-sir-lancelot and sir galahad the pure. on the way, arthur battles the black knight who, despite having had all his limbs chopped off, insists he can still fight. they reach camelot, but arthur decides not  to enter, as ""it is a silly place"". grahamchapman johncleese ericidle terrygilliam terryjones michaelpalin conniebooth carolcleveland neilinnes beeduffell johnyoung ritadavies avrilstewart sallykinghorn markzycon elspethcameron mitsukoforstater sandyjohnson sandyrose romillysquire joniflynn alisonwalker loraineward annalanski sallycoombe viviennemacdonald yvonnedick daphnedarling fionagordon judylamb tracysneddon joycepollner maryallen gloriagraham sylviataylor juliandoyle margaritadoyle zackmatalon scottmike williampalin terryjones tomraeburn brianross royforgesmith johnthornton maggieweston"
3,tm120801,The Dirty Dozen,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,"['war', 'action']",7.7,72662.0,20.398,7.6,LeeMarvin ErnestBorgnine CharlesBronson JimBrown JohnCassavetes RichardJaeckel GeorgeKennedy TriniLópez RalphMeeker RobertRyan TellySavalas DonaldSutherland ClintWalker RobertWebber TomBusby BenCarruthers StuartCooper RobertPhillips ColinMaitland AlMancini GeorgeRoubicek ThickWilson DoraReisser MichaelAnthony LeoBritt AlanChuntz GaryFiles JudithFurse HalGalili RomoGorrara WilloughbyGray GerardHeinz JohnG.Heller GeorgeHilsdon JohnHollis AlfJoint JubaKennerley HildegardKnef AnnLancaster RichardMarner DickMiller LionelMurton SuzanneOwens-Duval MikeReid TerryRichards FrederickSchiller RichardShaw WarrenStanhope HedgerWallace TheodoreWilhelm RockyTaylor BurnellTucker VickiWoolf MichaelSegal,"12 american military prisoners in world war ii are ordered to infiltrate a well-guarded enemy château and kill the nazi officers vacationing there. the soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences. leemarvin ernestborgnine charlesbronson jimbrown johncassavetes richardjaeckel georgekennedy trinilópez ralphmeeker robertryan tellysavalas donaldsutherland clintwalker robertwebber tombusby bencarruthers stuartcooper robertphillips colinmaitland almancini georgeroubicek thickwilson dorareisser michaelanthony leobritt alanchuntz garyfiles judithfurse halgalili romogorrara willoughbygray gerardheinz johng.heller georgehilsdon johnhollis alfjoint jubakennerley hildegardknef annlancaster richardmarner dickmiller lionelmurton suzanneowens-duval mikereid terryrichards frederickschiller richardshaw warrenstanhope hedgerwallace theodorewilhelm rockytaylor burnelltucker vickiwoolf michaelsegal"
4,tm70993,Life of Brian,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,['comedy'],8.0,395024.0,17.77,7.8,GrahamChapman JohnCleese TerryGilliam EricIdle TerryJones MichaelPalin TerenceBayler CarolCleveland KennethColley NeilInnes CharlesMcKeown JohnYoung GwenTaylor SueJones-Davies JohnCase ChrisLangham AndrewMacLachlan BernardMcKenna SpikeMilligan GeorgeHarrison,"brian cohen is an average young jewish man, but through a series of ridiculous events, he gains a reputation as the messiah. when he's not dodging his followers or being scolded by his shrill mother, the hapless brian has to contend with the pompous pontius pilate and acronym-obsessed members of a separatist movement. rife with monty python's signature absurdity, the tale finds brian's life paralleling biblical lore, albeit with many more laughs. grahamchapman johncleese terrygilliam ericidle terryjones michaelpalin terencebayler carolcleveland kennethcolley neilinnes charlesmckeown johnyoung gwentaylor suejones-davies johncase chrislangham andrewmaclachlan bernardmckenna spikemilligan georgeharrison"
5,tm14873,Dirty Harry,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,"['thriller', 'action', 'crime']",7.7,155051.0,12.817,7.5,ClintEastwood HarryGuardino ReniSantoni JohnVernon AndrewRobinson JohnLarch JohnMitchum MaeMercer LynEdgington RuthKobart WoodrowParfrey JosefSommer WilliamPaterson JamesNolan MauriceArgent JoDeWinter CraigKelly AlbertPopwell JoyCarlin BillCouch DianaDavidson VinceDeadrickSr. ChuckDorsett AlDunlap LarryDuran GeorgeFargo LoisForaker MaxGail JohnGarber ChristopherPray EddieGarrett JamesW.Gavin DavidGilliam DonHaggerty ScottHale KateHarper BobHarris ChuckHicks RaymondJohnson RichardLawson LaurieMock AnnNoland KathleenO'Malley AngelaPaton VictorPaul DebraleeScott DonSiegel KristofferTabori TonyDario MarcHertsens GordonChapli JanetWisely PamelaTanimura RichardSamuelson DerekJue SeanMaley DianeDarnell,"when a madman dubbed 'scorpio' terrorizes san francisco, hard-nosed cop, harry callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. harry eventually collars scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. now, the maverick detective is determined to nail the maniac himself. clinteastwood harryguardino renisantoni johnvernon andrewrobinson johnlarch johnmitchum maemercer lynedgington ruthkobart woodrowparfrey josefsommer williampaterson jamesnolan mauriceargent jodewinter craigkelly albertpopwell joycarlin billcouch dianadavidson vincedeadricksr. chuckdorsett aldunlap larryduran georgefargo loisforaker maxgail johngarber christopherpray eddiegarrett jamesw.gavin davidgilliam donhaggerty scotthale kateharper bobharris chuckhicks raymondjohnson richardlawson lauriemock annnoland kathleeno'malley angelapaton victorpaul debraleescott donsiegel kristoffertabori tonydario marchertsens gordonchapli janetwisely pamelatanimura richardsamuelson derekjue seanmaley dianedarnell"
6,tm119281,Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,"['crime', 'drama', 'action']",7.7,112048.0,15.687,7.5,WarrenBeatty FayeDunaway MichaelJ.Pollard GeneHackman EstelleParsons DenverPyle DubTaylor EvansEvans GeneWilder MabelCavitt PatrickCranshaw OwenBush ClydeHowdy RussMarker AnnPalmer KenMayer,"in the 1930s, bored waitress bonnie parker falls in love with an ex-con named clyde barrow and together they start a violent crime spree through the country, stealing cars and robbing banks. warrenbeatty fayedunaway michaelj.pollard genehackman estelleparsons denverpyle dubtaylor evansevans genewilder mabelcavitt patrickcranshaw owenbush clydehowdy russmarker annpalmer kenmayer"
7,tm98978,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,"['romance', 'action', 'drama']",5.8,69844.0,50.324,6.156,BrookeShields ChristopherAtkins LeoMcKern WilliamDaniels JeffreyKleiser GusMercurio ElvaJosephson GlennKohan BradleyPryce ChadTimmerman GertJacoby AlexHamilton RichardEvanson,"two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. soon, however, the cook dies and the young boy and girl are left on their own. days become years and emmeline and richard make a home for themselves surrounded by exotic creatures and nature's beauty. but will they ever see civilization again? brookeshields christopheratkins leomckern williamdaniels jeffreykleiser gusmercurio elvajosephson glennkohan bradleypryce chadtimmerman gertjacoby alexhamilton richardevanson"
8,tm44204,The Guns of Navarone,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,"['action', 'drama', 'war']",7.5,50748.0,13.844,7.3,GregoryPeck DavidNiven AnthonyQuinn StanleyBaker AnthonyQuayle JamesDarren IrenePapas GiaScala JamesRobertsonJustice RichardHarris BryanForbes AllanCuthbertson MichaelTrubshawe PercyHerbert GeorgeMikell WalterGotell TutteLemkow AlbertLieven NormanWooland KleoSkouloudi NicholasPapakonstantinou ChristopherRhodes WilliamHoehneJr.,"a team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped british soldiers. gregorypeck davidniven anthonyquinn stanleybaker anthonyquayle jamesdarren irenepapas giascala jamesrobertsonjustice richardharris bryanforbes allancuthbertson michaeltrubshawe percyherbert georgemikell waltergotell tuttelemkow albertlieven normanwooland kleoskouloudi nicholaspapakonstantinou christopherrhodes williamhoehnejr."
9,tm67378,The Professionals,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,"['western', 'action', 'european']",7.3,16446.0,13.123,7.1,BurtLancaster LeeMarvin RobertRyan WoodyStrode JackPalance ClaudiaCardinale RalphBellamy JoeDeSantis RafaelBertrand JorgeMartínezdeHoyos MarieGomez JoséChávez CarlosRomero VaughnTaylor ElizabethCampbell DonCarlos LeighChapman RobertoContreras DirkEvans DarwinLamb EddieLittleSky JohnLopez JohnMcKee PhilipL.Parslow RonVeto,an arrogant texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious mexican bandit. burtlancaster leemarvin robertryan woodystrode jackpalance claudiacardinale ralphbellamy joedesantis rafaelbertrand jorgemartínezdehoyos mariegomez joséchávez carlosromero vaughntaylor elizabethcampbell doncarlos leighchapman robertocontreras dirkevans darwinlamb eddielittlesky johnlopez johnmckee philipl.parslow ronveto
