,Unnamed: 0,id,title,description,release_year,genres,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
0,0,ts22164,Monty Python's Flying Circus,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,"['comedy', 'european']",8.8,73424.0,17.617,8.306,GrahamChapman MichaelPalin TerryJones EricIdle TerryGilliam,"a british sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines. grahamchapman michaelpalin terryjones ericidle terrygilliam"
1,1,ts45948,Monty Python's Fliegender Zirkus,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,['comedy'],8.1,2151.0,1.487,7.0,GrahamChapman JohnCleese EricIdle TerryJones MichaelPalin,"monty python's fliegender zirkus consisted of two 45-minute monty python german television comedy specials produced by wdr for west german television. the two episodes were first broadcast in january and december 1972 and were shot entirely on film and mostly on location in bavaria, with the first episode recorded in german and the second recorded in english and then dubbed into german. grahamchapman johncleese ericidle terryjones michaelpalin"
2,2,ts20681,Seinfeld,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989,['comedy'],8.9,308824.0,130.213,8.301,JerrySeinfeld JasonAlexander MichaelRichards JuliaLouis-Dreyfus,a stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in new york city in the '90s. it's a show about nothing. jerryseinfeld jasonalexander michaelrichards julialouis-dreyfus
3,3,ts22082,Knight Rider,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,"['scifi', 'action', 'crime', 'drama']",6.9,34115.0,50.267,7.5,DavidHasselhoff EdwardMulhare WilliamDaniels PatriciaMcPherson PeterParros,"michael long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. he is rescued by wilton knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of michael knight. michael is then given a special computerized and indestructible car called the knight industries two thousand (nicknamed kitt), and a mission: apprehend criminals who are beyond the reach of the law. the series depicts michael's exploits as he and kitt battle the forces of evil on behalf of the foundation for law and government. davidhasselhoff edwardmulhare williamdaniels patriciamcpherson peterparros"
4,4,ts20678,Saved by the Bell,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,"['family', 'comedy', 'romance']",7.1,35034.0,19.855,8.0,Mark-PaulGosselaar MarioLópez DustinDiamond LarkVoorhies DennisHaskins,"lovable schemer zack morris leads his pals on adventures at california's bayside high school. the friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, mr. richard belding, who does his best to keep them in check. mark-paulgosselaar mariolópez dustindiamond larkvoorhies dennishaskins"
5,5,ts25028,Wheel of Fortune,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,['family'],6.7,3145.0,5.935,6.8,VannaWhite PatSajak,"this game show sees contestants solve word puzzles, similar to those used in hangman, to win cash and prizes determined by spinning a giant carnival wheel. vannawhite patsajak"
6,6,ts23753,Major Dad,"Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,"['comedy', 'family']",6.5,2922.0,9.849,6.5,GeraldMcRaney ShannaReed MattMulhern JonCypher BeverlyArcher MarisaRyan NicoleDubuc ChelseaHertford,"major dad is an american sitcom created by richard c. okie and john g. stephens, developed by earl pomerantz, that originally ran from 1989 to 1993 on cbs, starring gerald mcraney as major john d. macgillis and shanna reed as his wife polly. the cast also includes beverly archer, matt mulhern, jon cypher, marisa ryan, nicole dubuc and chelsea hertford. geraldmcraney shannareed mattmulhern joncypher beverlyarcher marisaryan nicoledubuc chelseahertford"
7,7,ts987,Danger Mouse,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,"['animation', 'comedy', 'family', 'scifi', 'european']",7.4,3545.0,8.55,7.5,DavidJason TerryScott EdwardKelsey BrianTrueman,"danger mouse, the world's greatest secret agent, and his side-kick penfold work to foil the evil schemes of baron greenback. davidjason terryscott edwardkelsey briantrueman"
8,8,ts2760,Fireman Sam,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,"['animation', 'comedy', 'family', 'crime', 'european']",6.1,1785.0,37.647,7.2,StevenKynman DavidCarling SuDouglas TegwenTucker HarrietKershaw AlexLowe JoWyatt IfanHuwDafydd JohnHasler NigelWhitmey,"follow the adventures of fireman sam and his colleagues as they protect the citizens of the welsh town of pontypandy. whenever the alarm sounds, brave sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need. stevenkynman davidcarling sudouglas tegwentucker harrietkershaw alexlowe jowyatt ifanhuwdafydd johnhasler nigelwhitmey"
9,9,ts20981,Survivor,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,['reality'],7.4,24687.0,54.19,7.4,JeffProbst,"a reality show contest where sixteen or more castaways split between two or more “tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “immunity”, forcing the other tribe to attend “tribal council”, where they must vote off one of their players. jeffprobst"
